Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_67ea4b0f		Greetings! Welcome to the game.	game/script.rpy	36	"[what]"
start_9c57cd1c		As you already know, this game is an interactive fiction, and I hope that after playing, you can learn something from it.	game/script.rpy	37	"[what]"
start_44e32051		Now first, please enter your name:	game/script.rpy	38	"[what]"
start_f2028fa4		Hello, [povname]!	game/script.rpy	47	"[what]"
start_0a416816		The game has four small stories, they each have a number of options.	game/script.rpy	48	"[what]"
start_a8fc9ff9		Please be careful, your choices will influence the direction of the story	game/script.rpy	49	"[what]"
firststory_75d64016		Chapter one	game/script.rpy	72	"[what]"
refirststory_09f01863		You are a high school student	game/script.rpy	118	"[what]"
refirststory_45eeb729		One day between classes, you are sitting in your seat looking at your mobile phone and gradually feel the noise of a group of people talking next to you 	game/script.rpy	120	"[what]"
refirststory_7f5eaba2	a	Hahaha I think it's great! 	game/script.rpy	128	a "[what]"
refirststory_f8f688f3	b	I agree hahaha.. 	game/script.rpy	136	b "[what]"
refirststory_572c21e9		Although they are noisy, you choose to remain in the classroom as it is almost time for class. 	game/script.rpy	140	"[what]"
refirststory_5e62f8d0		At this point, you faintly hear them mention [d]'s name. 	game/script.rpy	142	"[what]"
refirststory_5f583265		[d] was a student in your class whom you didn't know very well but you remember well because [chars[]3[2]] has a birthmark on [chars[]3[3]] face	game/script.rpy	144	"[what]"
refirststory_68fbb5e1	abc	...tease...take...homework...	game/script.rpy	151	abc "[what]"
refirststory_fcc7f5bc		You seem to hear something.	game/script.rpy	153	"[what]"
refirststory_8130d140	abc	Hahahahaha...	game/script.rpy	159	abc "[what]"
refirststory_90ff59cd		Their laughter is somewhat gloating.	game/script.rpy	161	"[what]"
refirststory_b484d03d		After a while, [d] returns to the classroom and you see the three people immediately return to their seats, but there is some eye contact.	game/script.rpy	178	"[what]"
refirststory_495b5299		You feel something is wrong, but fortunately you have [d]'s contact details.	game/script.rpy	187	"[what]"
refirststory_0f60a65f	pov	"Hey dude, I just heard that some people seem to be trying to do something about your homework. "	game/script.rpy	189	pov "[what]"
refirststory_9494bdf7	d	"Huh? What are they going to do? "	game/script.rpy	195	d "[what]"
refirststory_71aca952	pov	"I'm not really sure, but you should be careful anyway."	game/script.rpy	197	pov "[what]"
refirststory_af0899d8	d	"Oh, Ok, thanks."	game/script.rpy	199	d "[what]"
refirststory_96da1f41		After class, you are relieved to see him out the door with his homework. 	game/script.rpy	203	"[what]"
refirststory_76cfb82e		At lunch, you feel really happy because you helped a classmate.	game/script.rpy	209	"[what]"
refirststory_a20cefa7		...	game/script.rpy	211	"[what]"
refirststory_18b23035		However, when you return to class, you find [d] anxiously rummaging through [chars[]3[3]] bag. 	game/script.rpy	226	"[what]"
refirststory_5f5cc1cf		You walk over.	game/script.rpy	228	"[what]"
refirststory_5fa290fd	pov	What's happened?	game/script.rpy	230	pov "[what]"
refirststory_0dd2b49c	d	 I can't find my wallet, I put it in my bag and it was gone when I came back from dinner. 	game/script.rpy	236	d "[what]"
refirststory_c3ca3180	pov	...	game/script.rpy	238	pov "[what]"
refirststory_7ebb0ac3		You think it's the same people who did it and you're a bit angry.	game/script.rpy	240	"[what]"
refirststory_970ec834	pov	What I told you before was planned by [abc], and I think they took your wallet too. 	game/script.rpy	242	pov "[what]"
refirststory_11db8362	d	What's wrong with them? Why are they doing this? I need to talk to them. 	game/script.rpy	244	d "[what]"
refirststory_a20cefa7_1		...	game/script.rpy	249	"[what]"
refirststory_241673e6		They are a little surprised to see you approaching. 	game/script.rpy	263	"[what]"
refirststory_5785f7a3	a	What's the matter?	game/script.rpy	265	a "[what]"
refirststory_84cc3ce5	d	Did you take my stuff? 	game/script.rpy	271	d "[what]"
refirststory_ccf735e7	a	Huh? What's that? 	game/script.rpy	273	a "[what]"
refirststory_62cc4768	d	My wallet.	game/script.rpy	275	d "[what]"
refirststory_2f31ed14	b	No, why would you think we took it?	game/script.rpy	277	b "[what]"
refirststory_d3dffd37	pov	Stop pretending, I heard what you said before.	game/script.rpy	279	pov "[what]"
refirststory_731ab315	c	Oops, you've got great hearing. 	game/script.rpy	283	c "[what]"
refirststory_dc6ef4ed	a	Then there's nothing we can do if we're overheard. 	game/script.rpy	285	a "[what]"
refirststory_c2884fcb		With that [chars[]0[2]] walks to the corner of the classroom and takes out the wallet.	game/script.rpy	294	"[what]"
refirststory_0ced3068	pov	Don't do that again, it's stealing, okay? 	game/script.rpy	298	pov "[what]"
refirststory_5fedade7	b	Don't be so serious, it's just a joke you know.	game/script.rpy	300	b "[what]"
refirststory_338e8331	pov	Do you think we find it funny? 	game/script.rpy	302	pov "[what]"
refirststory_1523fe20	d	...	game/script.rpy	304	d "[what]"
refirststory_ca17d728	d	...Let's go.	game/script.rpy	306	d "[what]"
refirststory_fb153b27		[d] drags you away. 	game/script.rpy	312	"[what]"
refirststory_b5d25731		Back in [chars[]3[3]] seat, [chars[]3[2]] looks a bit down in the dumps 	game/script.rpy	319	"[what]"
refirststory_69042723	d	...Thank you.	game/script.rpy	325	d "[what]"
refirststory_2ecff9ac	pov	It's what I should do.	game/script.rpy	327	pov "[what]"
refirststory_a20cefa7_2		...	game/script.rpy	329	"[what]"
refirststory_a20cefa7_3		...	game/script.rpy	333	"[what]"
refirststory_21938329		Well done for stepping up to the plate!	game/script.rpy	335	"[what]"
refirststory_8018cf1f		Keep going!	game/script.rpy	337	"[what]"
